"Nodo"	"ID"	"Leaves"	"Jaccard mean"	"Jaccard sd"	"16S mean"	"16S sd"	"Taxonomy"
"Node2138"	"6317"	"14"	"0.198"	"0.12"	"0.102"	"0.063"	";d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales"
"Node2124"	"6313"	"5"	"0.179"	"0.078"	"0.116"	"0.058"	";d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales"
"Node15"	"5876"	"2"	"0.143"	"0"	"0.085"	"0"	";d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae"
"Node362"	"5938"	"376"	"0.333"	"0.116"	"0.191"	"0.049"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia"
"Node264"	"5923"	"16"	"0.251"	"0.096"	"0.167"	"0.054"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales"
"Node244"	"5922"	"2"	"0.245"	"0"	"0.206"	"0"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales"
"Node29"	"5881"	"5"	"0.163"	"0.052"	"0.105"	"0.034"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae"
"Node176"	"5908"	"15"	"0.161"	"0.061"	"0.172"	"0.041"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae"
"Node127"	"5897"	"12"	"0.145"	"0.048"	"0.097"	"0.025"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae"
"Node110"	"5892"	"6"	"0.174"	"0.081"	"0.122"	"0.059"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales"
"Node86"	"5889"	"4"	"0.441"	"0.226"	"0.123"	"0.063"	";d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales"
"Node13308"	"8652"	"167"	"0.271"	"0.104"	"0.124"	"0.052"	";d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia"
"Node9582"	"7740"	"951"	"0.332"	"0.108"	"0.134"	"0.053"	";d__Bacteria;p__Actinobacteriota;c__Actinobacteria"
"Node2739"	"6514"	"1182"	"0.387"	"0.086"	"0.172"	"0.056"	";d__Bacteria"
"Node9429"	"7712"	"29"	"0.268"	"0.116"	"0.111"	"0.064"	";d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales"
"Node9078"	"7599"	"114"	"0.422"	"0.193"	"0.217"	"0.06"	";d__Bacteria;p__Firmicutes;c__Bacilli"
"Node14995"	"8959"	"4"	"0.334"	"0.188"	"0.172"	"0.081"	";d__Bacteria"
